Time,SpreadPrice,Qty,TotalQuoteOrders,FarAskDepth,TickSize
09:25:00.000545538,--,--,0,6,0.01
09:35:00.019421604,--,--,0,10,0.01
09:45:00.004949458,--,--,0,7,0.01
09:55:00.060791400,--,--,0,19,0.01
10:05:00.042877785,39.0,1,1,9,0.01
10:15:00.012781936,--,--,0,9,0.01
10:25:00.006306626,53.0,1,2.0,6,0.01
10:25:00.006306626,54.0,1.0,2.0,6,0.01
10:35:00.016177161,--,--,0,8,0.01
10:45:00.082382247,--,--,0,11,0.01
10:55:00.010376699,--,--,0,10,0.01
11:05:00.001016919,--,--,0,9,0.01
11:15:00.000712705,--,--,0,9,0.01
11:25:00.000735828,25.0,1,1,6,0.01
11:35:00.008583919,26.0,1,1,6,0.01
11:45:00.039964549,28.0,1,1,12,0.01
11:55:00.000461549,--,--,0,9,0.01
12:05:00.002493169,35.0,1,1,9,0.01
12:15:00.022519246,--,--,0,9,0.01
12:25:00.008589523,--,--,0,12,0.01
12:35:00.004588754,40.0,1,1,6,0.01
12:45:00.000064183,41.0,1,2,8,0.01
12:45:00.000064183,38.0,1,2,8,0.01
12:55:00.026524400,--,--,0,13,0.01
13:05:00.017757640,--,--,0,9,0.01
13:15:00.027731582,--,--,0,13,0.01
13:25:00.011354858,--,--,0,14,0.01
13:35:00.006332815,47.0,1,1,8,0.01
13:45:00.002523484,--,--,0,9,0.01
13:55:00.000758601,--,--,0,12,0.01
14:05:00.001146399,38.0,1,3,13,0.01
14:05:00.001146399,37.0,1,3,13,0.01
14:05:00.001146399,36.0,1,3,13,0.01
14:15:00.000703361,--,--,0,7,0.01
14:25:00.062271126,--,--,0,13,0.01
14:35:00.000646210,48.0,1,1,5,0.01
14:45:00.045356779,49.0,2,2,6,0.01
14:55:00.000903202,--,--,0,15,0.01
15:05:00.006318921,--,--,0,13,0.01
15:15:00.002188751,49.0,1,2,16,0.01
15:15:00.002188751,43.0,1,2,16,0.01
15:25:00.027456041,--,--,0,17,0.01
